Capture.ID,Animal.ID,ODFW.ID,SN,pop,subpop,age,sex,surv_to_8_months,Notes,A1,A2,A3,A4,A5,A6,A7,A8,AdultDelta,AdultTime,LambPop,LambEH,Movi.,L1,L2,L3,L4,L5,L6,L7,L8,LambDelta,LambTime,blood.urea.nitrogen,creatinine,glucose,cholesterol,triglycerides,total.protein,albumin,total.bilirubin,creatine.kinase,GGT,AST..SGOT.,Na,K,Cl,Ca,P,Mg,TCO,SDH,X.HBA.adj,NEFAs.adj,anion.gap,total.WBC,totneu,totlym,totmon,toteos,totbas,prop.E.coli.killed..1.128.,PW.prop.activation,con.A.prop.activation,LPS.prop.activation,globulins
G61-0118,G61,18-19,27567,SRP,HNK,7,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.5,163,NA,83,7,4.1,0.2,188,33,157,155,7.4,104,10.7,5.9,3.5,8.2,29,1.97,0.22,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
NL1-0217,NL1,10664,,SRP,HNK,4,male,?,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.8,165,48,269,6.9,4.1,0.3,435,30,156,153,4.5,99,9.9,5,3,4.2,23.2,2.54,0.06,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
NL2-0217,NL2,10671,19485,SRP,SAW,2,male,?,collar stopped working,10,10,10,10,10,0,0,0,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1.9,123,50,313,7.2,3.7,0.2,563,69,232,153,4.2,93,10.6,5.2,3,3.5,33.6,3.41,0.1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
R1-0117,R1,5724,23560,TCP,TCE,3,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.9,158,NA,121,6.6,4,0.2,42,33,216,155,5.4,107,10.7,4.7,2.9,2.6,43.8,3.05,0.58,51,11800,2478,3304,5782,236,0,0.384682618,0.391534392,-0.444444444,-0.119122257,2.6
R100-0117,R100,5721,20452,TCP,TCE,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,TCE,1.01E+15,0,10,10,10,10,10,10,0,0,FALSE,6,8,2,155,NA,155,6.9,3.8,0.3,49,80,352,155,5.3,107,10.2,6.4,3,0.9,44.8,1.77,0.25,52,10600,2226,424,7950,0,0,0.364142904,-0.067264574,1.278026906,5.833333333,3.1
R2-0117,R2,5708,23563,TCP,TCS,6,male,?,collar stopped working,10,10,10,10,10,0,0,0,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.8,149,NA,128,6,3.6,0.3,37,24,109,157,4,105,9.6,6.5,2.5,5,18,2.79,0.46,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
R3-0117,R3,5729,23561,TCP,TCS,5,female,?,collar stopped working,10,10,10,10,0,0,0,0,FALSE,4,TCS,1.01E+15,0,10,10,10,0,0,0,0,0,FALSE,3,10,1.9,123,NA,188,7.4,3.7,0.4,84,46,148,156,5.1,107,10.1,6.9,2.8,0.7,51.1,2.68,0.23,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
R4-0117,R4,5709,23532,TMP,,5,female,1,,10,10,10,11,0,0,0,0,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1.8,154,NA,123,6.9,3.7,0.3,20,24,113,158,4.1,108,10.1,6.4,2.6,2.4,18.5,1.97,0.53,52,9200,4508,184,4140,368,0,0.640773517,-0.260606061,-0.16969697,-1.5,3.2
R5-0117,R5,5722,23557,TMP,,3,male,1,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1.7,162,NA,134,6.8,3.6,0.3,21,49,120,153,4.4,103,10.4,4.5,2.7,6.3,27.2,1.94,0.38,48,11200,7056,0,3920,224,0,0.413088605,0.655629139,1.562913907,1.193548387,3.2
R6-0117,R6,5711,20400,TMP,,6,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1.9,168,NA,112,5.9,3.5,0.3,35,24,95,153,4.2,104,9.9,4.5,2.6,6.2,18.1,2.03,0.79,47,12600,7812,126,4536,126,0,0.775811209,0.271523179,1.105960265,2.022222222,2.4
R79-0117,R79,5699,23527,BSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,BSP,1.01E+15,0,10,10,11,0,0,0,0,0,TRUE,3,19,2,131,NA,261,7.3,4.2,0.3,43,23,108,159,6.3,102,10.1,7.2,2.6,1,18.1,1.92,0.32,62,NA,0,0,0,0,0,0.493296878,NA,NA,NA,3.1
R80-0117,R80,5681,23489,BSP,,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.1,136,NA,140,6.6,4,0.3,19,25,125,151,4.4,103,9.6,5.1,3,2.6,23.9,2.59,0.26,50,8200,4264,0,3526,410,0,0.688657612,0.052173913,0.091304348,0.847222222,2.6
R81-0117,R81,5686,23486,BSP,,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,BSP,1.01E+15,0,10,11,0,0,0,0,0,0,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9200,4140,0,4876,184,0,0.817869113,-0.063768116,-0.055072464,0.48502994,NA
R82-0117,R82,5704,23529,RSP,,1,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.2,167,NA,302,5.9,3.6,0.2,14,16,92,149,4.4,99,10.2,4.4,2.6,4.9,21.5,1.15,0.23,50,5800,2494,0,3190,116,0,0.428029635,-0.065420561,0.046728972,-1.461538462,2.3
R83-0117,R83,5703,23491,RSP,,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,10,10,10,11,0,TRUE,7,12,2,127,NA,347,6.1,3.6,0.2,18,24,115,151,4,100,9.3,4.7,2.4,3.9,33.5,1.72,0.32,51,3200,1600,0,1568,32,0,0.743781972,-1.073643411,-1.199612403,-0.814588235,2.5
R84-0117,R84,5705,23497,RSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,10,11,0,0,0,TRUE,5,14,2.1,120,NA,281,7,4,0.2,24,38,111,155,4.1,102,10.1,4.7,2.6,1.8,29.2,1.32,0.29,55,5400,1944,0,2700,756,0,0.819192097,-0.003460208,0.055363322,-0.245454546,3
R85-0117,R85,5685,23535,RSP,,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,11,0,0,0,0,0,TRUE,3,13,1.9,133,NA,277,6.7,3.9,0.2,15,24,93,157,4.3,107,9.5,5.9,2.8,1.9,21.1,3.24,0.31,52,7400,4366,0,2812,222,0,0.800229317,0.011494253,0.057471264,-0.352409639,2.8
R86-0117,R86,5706,23490,RSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,11,0,0,0,0,TRUE,4,13,1.9,146,NA,267,6.2,3.6,0.2,16,21,89,149,4.3,98,9.5,4.2,2.5,5.1,19.7,2.43,0.34,50,7000,2870,0,4060,70,0,0.811695184,-0.076642336,-0.00729927,-0.042635659,2.6
R87-0117,R87,5702,23496,RSP,,4,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,11,0,0,0,0,TRUE,4,15,2.2,158,NA,333,6.3,3.9,0.2,57,48,134,154,4.7,101,9.8,5.5,2.7,0.4,33.3,2.2,0.27,57,4200,840,0,3234,126,0,0.766713706,0.438016529,0.194214876,0.503759399,2.4
R88-0117,R88,5733,23498,RSP,,3,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,11,0,0,0,0,0,0,TRUE,2,19,2.1,189,NA,412,5.8,3.4,0.2,99,23,96,151,4,95,9.6,4.4,2.7,5.2,28.7,3.45,0.25,55,8000,5120,80,2640,160,0,NA,0.221621622,-0.021621622,-0.273037543,2.4
R89-0117,R89,5734,23487,RSP,,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,10,11,0,0,0,0,TRUE,4,15,1.8,149,NA,162,6.4,3.9,0.2,149,24,137,156,3.8,103,10.1,4.8,3,2.8,25.4,3.31,0.31,54,3600,2376,0,1152,72,0,0.324836832,0.161290323,0.838709677,0.630434783,2.5
R90-0117,R90,5688,23485,RSP,,7,female,0,collar stopped working - observed for several years post capture,10,10,10,10,0,0,0,0,FALSE,4,RSP,1.01E+15,1,10,10,10,10,11,0,0,0,TRUE,5,16,2,195,NA,559,6.7,4.1,0.2,70,25,167,167,4.3,107,10.1,4.6,2.9,0.3,47.3,1.83,0.36,64,4400,2068,0,2156,176,0,0.706297407,0.050387597,0.224806202,0.035087719,2.6
R91-0117,R91,5689,23495,RSP,,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,11,0,0,0,0,0,TRUE,3,14,2.1,164,NA,265,6.3,3.5,0.2,41,23,122,156,3.8,106,9.5,4.7,2.5,1.4,38.2,2.11,0.22,52,3400,1564,0,1666,170,0,0.78876345,-0.113712375,0.086956522,0.006060606,2.8
R92-0117,R92,5679,23488,RSP,,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.8,158,NA,514,6.2,4,0.2,37,19,129,158,4.2,102,9.6,5.2,2.7,0.3,29.6,1.91,0.25,60,3600,1296,0,2232,72,0,0.749514906,0.032894737,0.016447368,24.81818182,2.2
R93-0117,R93,5732,23493,RSP,,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,RSP,1.01E+15,1,10,10,11,0,0,0,0,0,TRUE,3,15,1.8,138,NA,261,6.2,3.9,0.2,160,15,114,159,4,104,9.6,3.8,2.6,2.7,17,1.52,0.28,56,3000,2040,30,870,60,0,0.346004586,NA,NA,NA,2.3
R94-0117,R94,5731,23494,RSP,,3,male,?,collar stopped working,10,10,10,0,0,0,0,0,FALSE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.2,122,NA,104,6,3.7,0.3,50,26,98,151,3.6,101,9.8,3.4,2.6,7.3,14.6,1.89,0.66,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3
R95-0117,R95,5715,23559,TCP,TCW,11,female,1,,10,10,10,10,11,0,0,0,TRUE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,123,NA,213,6.6,3.4,0.2,32,25,127,157,5.5,108,9.7,5.8,2.8,2,16.5,1.36,0.23,53,10000,4200,100,5200,500,0,-0.040446622,0.846153846,0.794871795,-3.538461538,3.2
R96-0117,R96,5714,23555,TCP,TCW,6,female,?,cougar mortality post capture - don't use,11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.2,127,NA,279,7.3,4,0.3,329,53,185,159,5.7,100,10.3,6.9,2.7,1.3,23.1,1.33,0.39,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
R97-0117,R97,5713,23531,TCP,TCW,5,female,,unknown mortality post capture - don't use,11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.3,118,NA,92,7.7,4.3,0.2,31,67,263,162,5.4,113,10.3,6.7,3,1.2,67.4,1.55,0.47,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
R98-0117,R98,5716,23556,TCP,TCW,3,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2.2,176,NA,438,6.5,3.8,0.3,89,26,114,151,4.7,94,10.3,4.1,2.9,2.4,23.4,1.83,0.35,59,3200,1696,0,1312,192,0,-0.1074399,NA,NA,NA,2.7
R99-0117,R99,5730,23558,TCP,TCE,2,female,0,,10,10,10,10,10,10,10,10,FALSE,8,TCE,1.00E+15,0,10,0,0,10,10,10,0,0,FALSE,6,10,2,195,NA,227,6.5,3.9,0.3,91,78,282,154,5.7,99,10.2,5.9,2.9,1,76.2,2.14,0.29,60,4200,420,0,3402,378,0,0.383371572,-0.900466563,-0.99844479,-0.705031013,2.6
W1-0118,W1,6141,28952,TCP,TCW,5,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.8,153,50,248,6.5,3.6,0.3,152,39,235,151,6.2,100,9.7,6,3.1,1.6,75.5,1.69,0.17,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
W10-0118,W10,6129,28969,BHP,,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,BHP,1.01E+15,1,10,10,10,10,11,0,0,0,TRUE,5,23,1.3,138,55,287,6.7,3.7,0.2,209,61,271,154,4.8,99,9.1,7.1,3.4,2.3,104.8,2.71,0.13,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
W11-0118,W11,6143,23524,TCP,TCS,4,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.5,106,44,73,5.6,3.2,0.3,204,25,129,125,4.2,87,8,5.4,2.5,3.6,27.7,1.96,0.13,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
W12-0118,W12,6138,23531,TCP,TCW,3,male,?,collar stopped working,10,0,0,0,0,0,0,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1.6,106,61,60,6.4,3.6,0.2,491,22,315,149,4.6,104,9.4,5.2,2.8,5.6,15.8,3.46,0.54,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
W13-0118,W13,6146,23532,RSP,,4,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1.3,136,26,163,5.3,3.2,0.2,254,27,124,125,3.6,85,8,3.9,2.4,3.6,33.4,1.52,0.1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1
