Capture.ID,Animal.ID,ODFW.ID,SN,pop,subpop,age,sex,surv_to_8_months,Notes,A1,A2,A3,A4,A5,A6,A7,A8,AdultDelta,AdultTime,LambPop,LambEH,Movi.,L1,L2,L3,L4,L5,L6,L7,L8,LambDelta,LambTime,blood.urea.nitrogen,creatinine,glucose,cholesterol,triglycerides,total.protein,albumin,total.bilirubin,creatine.kinase,GGT,AST..SGOT.,Na,K,Cl,Ca,P,Mg,TCO,SDH,X.HBA.adj,NEFAs.adj,anion.gap,total.WBC,totneu,totlym,totmon,toteos,totbas,prop.E.coli.killed..1.128.,PW.prop.activation,con.A.prop.activation,LPS.prop.activation,globulins
Y10-0217,Y10,10673,24701,SRP,SAW,2,female,0,,10,10,10,10,10,10,10,10,FALSE,8,SAW,1.01E+15,0,10,10,10,10,10,10,10,0,FALSE,7,25,1.7,114,50,244,5.9,3.5,0.2,1116,33,161,150,4.8,99,9.7,3.8,3,8.6,21.8,3.65,0.18,47,13000,5460,0,7020,520,0,0.364695341,0.182926829,0.026607539,-0.062287656,2.4
Y103-0217,Y103,10666,19772,SRP,CAL,2,male,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.5,147,37,104,5.7,3.2,0.2,491,14,110,143,3.9,104,9.8,2.7,2.3,16.4,20.8,1.97,0.51,27,6400,4480,128,1728,64,0,-0.065113281,NA,NA,NA,2.5
Y104-0217,Y104,10669,24696,SRP,CAL,4,female,1,Killed by cougar post-capture (don't include),11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.5,191,55,531,6.3,3.8,0.3,738,42,152,153,8.3,98,11.3,8.2,3,2.9,39,1.84,0.01,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
Y11-0217,Y11,10675,24703,SRP,SAW,5,female,0,,10,10,10,10,10,10,10,10,FALSE,8,SAW,1.01E+15,0,10,10,0,0,11,0,0,0,TRUE,5,24,1.7,143,50,292,6.4,3.5,0.2,360,38,188,151,4.3,93,9.7,4.7,2.8,3.6,39.1,3.6,0.08,59,16000,8160,0,6720,1120,0,0.180555556,0.008009153,-0.121281465,-0.387628866,2.9
Y122-0217,Y122,10665,24695,SRP,CAL,9,female,1,Killed by cougar post-capture (don't include),11,0,0,0,0,0,0,0,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2.2,169,61,417,5.7,3.2,0.2,2905,31,244,147,4.7,102,9.2,3.6,2.4,12.1,32.4,2.26,0.66,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
Y123-0217,Y123,10668,24702,SRP,CAL,3,female,0,,10,10,10,10,10,10,10,10,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.8,153,38,381,6.7,3.9,0.2,324,58,166,153,5.5,99,10.4,7.5,2.7,2.5,41.4,2.16,0.01,57,7400,1998,0,5328,74,0,0.024221772,NA,NA,NA,2.8
Y2-0217,Y2,10667,24698,SRP,HNK,2,female,0,,10,10,10,10,10,10,10,10,FALSE,8,MCK,1.01E+15,0,10,10,10,10,10,10,10,10,FALSE,8,16,2.4,184,62,296,6.4,3.5,0.2,413,30,98,152,5,96,9.3,5.5,3.5,2.1,14.7,2.81,0.03,59,5400,2484,1080,1674,162,0,NA,NA,NA,NA,2.9
Y3-0217,Y3,10661,24704,SRP,HNK,6,female,1,,10,10,11,0,0,0,0,0,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2.3,174,57,298,6.5,3.7,0.2,413,44,146,154,5.2,100,9.8,5.4,3.2,1.9,33.3,1.99,0.03,57,7800,2964,78,4446,312,0,-0.27826087,NA,NA,NA,2.8
Y4-0217,Y4,10663,24705,SRP,HNK,3,female,0,,10,10,10,10,10,10,10,10,FALSE,8,MCK,1.01E+15,0,10,10,10,10,10,10,10,10,FALSE,8,14,2.2,129,54,162,6.3,3.9,0.2,212,24,110,155,4.7,104,10.1,5.6,3.4,4.4,16.6,2.53,0.06,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4
Y5-0217,Y5,10672,24692,SRP,EML,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,EML,1.01E+15,0,10,10,10,10,10,10,10,0,FALSE,7,10,2,131,49,224,6.5,3.8,0.2,203,21,92,153,4,104,9.8,3.9,2.7,5,13.7,1.35,0.12,48,6800,2448,68,3264,1020,0,0.101702509,2.037037037,2.00617284,-0.061755952,2.7
Y6-0217,Y6,10676,24693,SRP,EML,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,EML,1.01E+15,0,10,10,11,0,0,0,0,0,TRUE,3,15,1.7,147,77,343,6.6,4,0.4,181,36,137,152,5.5,105,9.8,4.6,2.9,0.5,69.4,1.91,0.05,52,7800,2028,78,4524,1170,0,0.779569893,-0.295918367,-0.103316327,-0.151312649,2.6
Y7-0217,Y7,10677,24694,SRP,EML,9,female,0,,10,10,10,10,10,10,10,10,FALSE,8,EML,1.01E+15,0,10,10,10,10,11,0,0,0,TRUE,5,12,2.2,77,52,79,6.4,3.1,0.5,979,24,115,145,4,98,9.2,3.8,2.7,15.6,23.8,6.29,1.72,35,16000,13280,480,2080,160,0,0.005824373,-0.150253807,-0.06142132,0.323658052,3.3
Y8-0217,Y8,10674,24699,SRP,EML,6,female,0,,10,10,10,10,10,10,10,10,FALSE,8,EML,1.01E+15,0,10,10,11,0,0,0,0,0,TRUE,3,13,2,137,52,264,6.6,4,0.2,166,22,106,152,4.2,102,9.9,4.5,2.7,3.7,11.6,2.06,0.11,51,3800,1102,38,2508,152,0,0.13172043,-0.368078176,-0.325732899,-0.576988156,2.6
Y9-0217,Y9,10670,24700,SRP,SAW,7,female,0,,10,10,10,10,10,10,10,10,FALSE,8,SAW,1.00E+15,0,10,0,0,0,10,11,0,0,TRUE,6,23,1.4,129,56,225,6,3.3,0.2,500,13,115,151,3.9,101,9.4,4.2,2.7,8.2,22.4,3.03,0.31,46,7200,2448,0,4608,144,0,0.438172043,0.098083427,0.021420519,0.025997046,2.7
NC2-0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,169,56,332,6.4,3.6,0.3,281,32,143,150,4.7,98,10.1,5.9,2.8,2.3,16.5,2.06,0.16,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
NC3-0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1.5,174,58,164,6.9,3.6,0.2,385,36,165,153,6.8,97,10.5,7.9,2.8,3,19.8,2.45,0.09,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
NC4-0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1.6,125,61,86,6.7,2.8,0.3,231,31,207,150,4.9,105,9,6.3,2.6,5.1,21.4,2.83,0.44,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
NC5-0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.3,130,69,106,8.4,3.8,0.4,145,26,155,180,6.1,115,12.6,8.5,3.6,12.5,21.4,1.69,0.54,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
NL1-0118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8200,820,6724,410,246,0,NA,NA,NA,NA,NA
